選舉類型,候選人數量
[鄉鎮市長]新竹縣新豐鄉,7
[鄉鎮市長]新竹縣芎林鄉,2
[鄉鎮市長]新竹縣橫山鄉,2
[鄉鎮市長]新竹縣北埔鄉,5
[鄉鎮市長]新竹縣寶山鄉,2
[鄉鎮市長]新竹縣峨眉鄉,2
[鄉鎮市長]新竹縣尖石鄉,2
[鄉鎮市長]新竹縣五峰鄉,4
[鄉鎮市民代表]新竹縣竹北市第1選舉區,17
[鄉鎮市民代表]新竹縣竹北市第2選舉區,13
[鄉鎮市民代表]新竹縣竹北市第3選舉區,3
[鄉鎮市民代表]新竹縣竹北市第4選舉區,5
[鄉鎮市民代表]新竹縣竹東鎮第1選舉區,5
[鄉鎮市民代表]新竹縣竹東鎮第2選舉區,6
[鄉鎮市民代表]新竹縣竹東鎮第3選舉區,8
[鄉鎮市民代表]新竹縣竹東鎮第4選舉區,6
[鄉鎮市民代表]新竹縣新埔鎮第1選舉區,10
[鄉鎮市民代表]新竹縣新埔鎮第2選舉區,2
[鄉鎮市民代表]新竹縣新埔鎮第3選舉區,4
[鄉鎮市民代表]新竹縣新埔鎮第4選舉區,4
[鄉鎮市民代表]新竹縣關西鎮第1選舉區,5
[鄉鎮市民代表]新竹縣關西鎮第2選舉區,6
[鄉鎮市民代表]新竹縣關西鎮第3選舉區,2
[鄉鎮市民代表]新竹縣關西鎮第4選舉區,6
[鄉鎮市民代表]新竹縣湖口鄉第1選舉區,8
[鄉鎮市民代表]新竹縣湖口鄉第2選舉區,8
[鄉鎮市民代表]新竹縣湖口鄉第3選舉區,5
[鄉鎮市民代表]新竹縣湖口鄉第4選舉區,2
[鄉鎮市民代表]新竹縣新豐鄉第1選舉區,4
[鄉鎮市民代表]新竹縣新豐鄉第2選舉區,3
[鄉鎮市民代表]新竹縣新豐鄉第3選舉區,4
[鄉鎮市民代表]新竹縣新豐鄉第4選舉區,8
[鄉鎮市民代表]新竹縣芎林鄉第1選舉區,2
[鄉鎮市民代表]新竹縣芎林鄉第2選舉區,3
[鄉鎮市民代表]新竹縣芎林鄉第3選舉區,4
[鄉鎮市民代表]新竹縣芎林鄉第4選舉區,10
[鄉鎮市民代表]新竹縣橫山鄉第1選舉區,8
[鄉鎮市民代表]新竹縣橫山鄉第2選舉區,7
[鄉鎮市民代表]新竹縣橫山鄉第3選舉區,3
[鄉鎮市民代表]新竹縣橫山鄉第4選舉區,2
[鄉鎮市民代表]新竹縣北埔鄉第1選舉區,4
