選舉類型,候選人數量
[鄉鎮市長]雲林縣莿桐鄉,2
[鄉鎮市長]雲林縣林內鄉,2
[鄉鎮市長]雲林縣二崙鄉,2
[鄉鎮市長]雲林縣崙背鄉,3
[鄉鎮市長]雲林縣麥寮鄉,1
[鄉鎮市長]雲林縣東勢鄉,2
[鄉鎮市長]雲林縣褒忠鄉,2
[鄉鎮市長]雲林縣臺西鄉,2
[鄉鎮市長]雲林縣元長鄉,2
[鄉鎮市長]雲林縣四湖鄉,2
[鄉鎮市長]雲林縣口湖鄉,2
[鄉鎮市長]雲林縣水林鄉,3
[鄉鎮市民代表]雲林縣斗六市第1選舉區,11
[鄉鎮市民代表]雲林縣斗六市第2選舉區,7
[鄉鎮市民代表]雲林縣斗六市第3選舉區,7
[鄉鎮市民代表]雲林縣斗六市第4選舉區,7
[鄉鎮市民代表]雲林縣斗南鎮第1選舉區,7
[鄉鎮市民代表]雲林縣斗南鎮第2選舉區,5
[鄉鎮市民代表]雲林縣斗南鎮第3選舉區,6
[鄉鎮市民代表]雲林縣斗南鎮第4選舉區,5
[鄉鎮市民代表]雲林縣虎尾鎮第1選舉區,10
[鄉鎮市民代表]雲林縣虎尾鎮第2選舉區,2
[鄉鎮市民代表]雲林縣虎尾鎮第3選舉區,3
[鄉鎮市民代表]雲林縣虎尾鎮第4選舉區,1
[鄉鎮市民代表]雲林縣西螺鎮第1選舉區,8
[鄉鎮市民代表]雲林縣西螺鎮第2選舉區,3
[鄉鎮市民代表]雲林縣西螺鎮第3選舉區,1
[鄉鎮市民代表]雲林縣西螺鎮第4選舉區,3
[鄉鎮市民代表]雲林縣土庫鎮第1選舉區,7
[鄉鎮市民代表]雲林縣土庫鎮第2選舉區,3
[鄉鎮市民代表]雲林縣土庫鎮第3選舉區,3
[鄉鎮市民代表]雲林縣土庫鎮第4選舉區,4
[鄉鎮市民代表]雲林縣北港鎮第1選舉區,6
[鄉鎮市民代表]雲林縣北港鎮第2選舉區,6
[鄉鎮市民代表]雲林縣北港鎮第3選舉區,4
[鄉鎮市民代表]雲林縣古坑鄉第1選舉區,6
[鄉鎮市民代表]雲林縣古坑鄉第2選舉區,5
[鄉鎮市民代表]雲林縣古坑鄉第3選舉區,3
[鄉鎮市民代表]雲林縣古坑鄉第4選舉區,1
[鄉鎮市民代表]雲林縣大埤鄉第1選舉區,4
[鄉鎮市民代表]雲林縣大埤鄉第2選舉區,7
[鄉鎮市民代表]雲林縣大埤鄉第3選舉區,7
[鄉鎮市民代表]雲林縣大埤鄉第4選舉區,4
[鄉鎮市民代表]雲林縣莿桐鄉第1選舉區,7
[鄉鎮市民代表]雲林縣莿桐鄉第2選舉區,6
[鄉鎮市民代表]雲林縣莿桐鄉第3選舉區,4
[鄉鎮市民代表]雲林縣林內鄉第1選舉區,3
[鄉鎮市民代表]雲林縣林內鄉第2選舉區,4
[鄉鎮市民代表]雲林縣林內鄉第3選舉區,3
[鄉鎮市民代表]雲林縣林內鄉第4選舉區,5
[鄉鎮市民代表]雲林縣二崙鄉第1選舉區,3
[鄉鎮市民代表]雲林縣二崙鄉第2選舉區,4
[鄉鎮市民代表]雲林縣二崙鄉第3選舉區,5
[鄉鎮市民代表]雲林縣二崙鄉第4選舉區,3
[鄉鎮市民代表]雲林縣二崙鄉第5選舉區,2
[鄉鎮市民代表]雲林縣崙背鄉第1選舉區,4
[鄉鎮市民代表]雲林縣崙背鄉第2選舉區,5
[鄉鎮市民代表]雲林縣崙背鄉第3選舉區,2
[鄉鎮市民代表]雲林縣崙背鄉第4選舉區,6
[鄉鎮市民代表]雲林縣麥寮鄉第1選舉區,7
[鄉鎮市民代表]雲林縣麥寮鄉第2選舉區,2
[鄉鎮市民代表]雲林縣麥寮鄉第3選舉區,5
[鄉鎮市民代表]雲林縣麥寮鄉第4選舉區,3
[鄉鎮市民代表]雲林縣東勢鄉第1選舉區,4
[鄉鎮市民代表]雲林縣東勢鄉第2選舉區,5
[鄉鎮市民代表]雲林縣東勢鄉第3選舉區,5
[鄉鎮市民代表]雲林縣東勢鄉第4選舉區,4
[鄉鎮市民代表]雲林縣褒忠鄉第1選舉區,5
[鄉鎮市民代表]雲林縣褒忠鄉第2選舉區,5
[鄉鎮市民代表]雲林縣褒忠鄉第3選舉區,3
[鄉鎮市民代表]雲林縣褒忠鄉第4選舉區,3
[鄉鎮市民代表]雲林縣臺西鄉第1選舉區,6
[鄉鎮市民代表]雲林縣臺西鄉第2選舉區,4
[鄉鎮市民代表]雲林縣臺西鄉第3選舉區,3
[鄉鎮市民代表]雲林縣臺西鄉第4選舉區,5
[鄉鎮市民代表]雲林縣元長鄉第1選舉區,6
[鄉鎮市民代表]雲林縣元長鄉第2選舉區,4
[鄉鎮市民代表]雲林縣元長鄉第3選舉區,4
[鄉鎮市民代表]雲林縣四湖鄉第1選舉區,7
[鄉鎮市民代表]雲林縣四湖鄉第2選舉區,2
[鄉鎮市民代表]雲林縣四湖鄉第3選舉區,3
[鄉鎮市民代表]雲林縣四湖鄉第4選舉區,1
[鄉鎮市民代表]雲林縣口湖鄉第1選舉區,5
[鄉鎮市民代表]雲林縣口湖鄉第2選舉區,3
[鄉鎮市民代表]雲林縣口湖鄉第3選舉區,4
[鄉鎮市民代表]雲林縣口湖鄉第4選舉區,4
[鄉鎮市民代表]雲林縣水林鄉第1選舉區,8
[鄉鎮市民代表]雲林縣水林鄉第2選舉區,5
[鄉鎮市民代表]雲林縣水林鄉第3選舉區,3
[鄉鎮市民代表]雲林縣水林鄉第4選舉區,3
[縣(市)長]嘉義縣,4
[縣(市)議員]嘉義縣第1選舉區,12
[縣(市)議員]嘉義縣第2選舉區,9
[縣(市)議員]嘉義縣第3選舉區,8
[縣(市)議員]嘉義縣第4選舉區,11
[縣(市)議員]嘉義縣第5選舉區,5
[縣(市)議員]嘉義縣第6選舉區,13
[縣(市)議員]嘉義縣第7選舉區,2
[鄉鎮市長]嘉義縣太保市,1
[鄉鎮市長]嘉義縣朴子市,3
[鄉鎮市長]嘉義縣布袋鎮,1
[鄉鎮市長]嘉義縣大林鎮,4
[鄉鎮市長]嘉義縣民雄鄉,2
[鄉鎮市長]嘉義縣溪口鄉,4
[鄉鎮市長]嘉義縣新港鄉,2
[鄉鎮市長]嘉義縣六腳鄉,1
[鄉鎮市長]嘉義縣東石鄉,1
[鄉鎮市長]嘉義縣義竹鄉,2
[鄉鎮市長]嘉義縣鹿草鄉,1
[鄉鎮市長]嘉義縣水上鄉,2
[鄉鎮市長]嘉義縣中埔鄉,2
[鄉鎮市長]嘉義縣竹崎鄉,3
[鄉鎮市長]嘉義縣梅山鄉,2
[鄉鎮市長]嘉義縣番路鄉,1
[鄉鎮市長]嘉義縣大埔鄉,2
[鄉鎮市長]嘉義縣阿里山鄉,1
[鄉鎮市民代表]嘉義縣太保市第1選舉區,5
[鄉鎮市民代表]嘉義縣太保市第2選舉區,2
[鄉鎮市民代表]嘉義縣太保市第3選舉區,6
[鄉鎮市民代表]嘉義縣朴子市第1選舉區,7
[鄉鎮市民代表]嘉義縣朴子市第2選舉區,4
[鄉鎮市民代表]嘉義縣朴子市第3選舉區,3
[鄉鎮市民代表]嘉義縣布袋鎮第1選舉區,5
[鄉鎮市民代表]嘉義縣布袋鎮第2選舉區,3
[鄉鎮市民代表]嘉義縣布袋鎮第3選舉區,6
[鄉鎮市民代表]嘉義縣大林鎮第1選舉區,11
[鄉鎮市民代表]嘉義縣大林鎮第2選舉區,7
[鄉鎮市民代表]嘉義縣民雄鄉第1選舉區,4
[鄉鎮市民代表]嘉義縣民雄鄉第2選舉區,6
[鄉鎮市民代表]嘉義縣民雄鄉第3選舉區,5
[鄉鎮市民代表]嘉義縣溪口鄉第1選舉區,10
[鄉鎮市民代表]嘉義縣溪口鄉第2選舉區,7
[鄉鎮市民代表]嘉義縣新港鄉第1選舉區,10
[鄉鎮市民代表]嘉義縣新港鄉第2選舉區,10
[鄉鎮市民代表]嘉義縣六腳鄉第1選舉區,8
[鄉鎮市民代表]嘉義縣六腳鄉第2選舉區,7
[鄉鎮市民代表]嘉義縣六腳鄉第3選舉區,3
[鄉鎮市民代表]嘉義縣東石鄉第1選舉區,3
[鄉鎮市民代表]嘉義縣東石鄉第2選舉區,5
[鄉鎮市民代表]嘉義縣東石鄉第3選舉區,6
[鄉鎮市民代表]嘉義縣義竹鄉第1選舉區,5
[鄉鎮市民代表]嘉義縣義竹鄉第2選舉區,9
[鄉鎮市民代表]嘉義縣鹿草鄉第1選舉區,10
[鄉鎮市民代表]嘉義縣鹿草鄉第2選舉區,5
[鄉鎮市民代表]嘉義縣鹿草鄉第3選舉區,3
[鄉鎮市民代表]嘉義縣水上鄉第1選舉區,5
[鄉鎮市民代表]嘉義縣水上鄉第2選舉區,5
[鄉鎮市民代表]嘉義縣水上鄉第3選舉區,6
[鄉鎮市民代表]嘉義縣中埔鄉第1選舉區,8
[鄉鎮市民代表]嘉義縣中埔鄉第2選舉區,5
[鄉鎮市民代表]嘉義縣中埔鄉第3選舉區,3
[鄉鎮市民代表]嘉義縣竹崎鄉第1選舉區,8
[鄉鎮市民代表]嘉義縣竹崎鄉第2選舉區,3
[鄉鎮市民代表]嘉義縣竹崎鄉第3選舉區,3
[鄉鎮市民代表]嘉義縣梅山鄉第1選舉區,9
[鄉鎮市民代表]嘉義縣梅山鄉第2選舉區,5
[鄉鎮市民代表]嘉義縣梅山鄉第3選舉區,3
[鄉鎮市民代表]嘉義縣番路鄉第1選舉區,8
[鄉鎮市民代表]嘉義縣番路鄉第2選舉區,4
[鄉鎮市民代表]嘉義縣大埔鄉第1選舉區,5
[鄉鎮市民代表]嘉義縣大埔鄉第2選舉區,5
[鄉鎮市民代表]嘉義縣阿里山鄉第1選舉區,2
[鄉鎮市民代表]嘉義縣阿里山鄉第2選舉區,8
[鄉鎮市民代表]嘉義縣阿里山鄉第3選舉區,4
[縣(市)長]屏東縣,3
[縣(市)議員]屏東縣第1選舉區,20
[縣(市)議員]屏東縣第2選舉區,13
[縣(市)議員]屏東縣第3選舉區,17
[縣(市)議員]屏東縣第4選舉區,10
[縣(市)議員]屏東縣第5選舉區,6
[縣(市)議員]屏東縣第6選舉區,6
[縣(市)議員]屏東縣第7選舉區,2
[縣(市)議員]屏東縣第9選舉區,2
[縣(市)議員]屏東縣第10選舉區,2
[縣(市)議員]屏東縣第11選舉區,2
[縣(市)議員]屏東縣第12選舉區,1
[縣(市)議員]屏東縣第13選舉區,2
[縣(市)議員]屏東縣第14選舉區,6
[縣(市)議員]屏東縣第15選舉區,5
[縣(市)議員]屏東縣第16選舉區,4
[縣(市)議員]屏東縣第8選舉區,4
[鄉鎮市長]屏東縣屏東市,2
[鄉鎮市長]屏東縣潮州鎮,3
[鄉鎮市長]屏東縣東港鎮,2
[鄉鎮市長]屏東縣恆春鎮,5
[鄉鎮市長]屏東縣萬丹鄉,2
[鄉鎮市長]屏東縣長治鄉,4
[鄉鎮市長]屏東縣麟洛鄉,2
[鄉鎮市長]屏東縣九如鄉,2
[鄉鎮市長]屏東縣里港鄉,2
[鄉鎮市長]屏東縣鹽埔鄉,2
[鄉鎮市長]屏東縣高樹鄉,4
[鄉鎮市長]屏東縣萬巒鄉,2
[鄉鎮市長]屏東縣內埔鄉,1
[鄉鎮市長]屏東縣竹田鄉,2
[鄉鎮市長]屏東縣新埤鄉,3
[鄉鎮市長]屏東縣枋寮鄉,3
[鄉鎮市長]屏東縣新園鄉,3
[鄉鎮市長]屏東縣崁頂鄉,3
[鄉鎮市長]屏東縣林邊鄉,2
[鄉鎮市長]屏東縣南州鄉,3
[鄉鎮市長]屏東縣佳冬鄉,2
[鄉鎮市長]屏東縣琉球鄉,2
[鄉鎮市長]屏東縣車城鄉,4
[鄉鎮市長]屏東縣滿州鄉,3
[鄉鎮市長]屏東縣枋山鄉,4
[鄉鎮市長]屏東縣三地門鄉,2
[鄉鎮市長]屏東縣霧臺鄉,2
[鄉鎮市長]屏東縣瑪家鄉,2
[鄉鎮市長]屏東縣泰武鄉,1
[鄉鎮市長]屏東縣來義鄉,2
[鄉鎮市長]屏東縣春日鄉,2
[鄉鎮市長]屏東縣獅子鄉,8
[鄉鎮市長]屏東縣牡丹鄉,3
[鄉鎮市民代表]屏東縣屏東市第1選舉區,2
[鄉鎮市民代表]屏東縣屏東市第2選舉區,10
[鄉鎮市民代表]屏東縣屏東市第3選舉區,10
[鄉鎮市民代表]屏東縣屏東市第4選舉區,16
[鄉鎮市民代表]屏東縣潮州鎮第1選舉區,8
[鄉鎮市民代表]屏東縣潮州鎮第2選舉區,7
[鄉鎮市民代表]屏東縣潮州鎮第3選舉區,2
[鄉鎮市民代表]屏東縣東港鎮第1選舉區,5
[鄉鎮市民代表]屏東縣東港鎮第2選舉區,3
[鄉鎮市民代表]屏東縣東港鎮第3選舉區,3
[鄉鎮市民代表]屏東縣東港鎮第4選舉區,4
[鄉鎮市民代表]屏東縣恆春鎮第1選舉區,6
[鄉鎮市民代表]屏東縣恆春鎮第2選舉區,3
[鄉鎮市民代表]屏東縣恆春鎮第3選舉區,5
[鄉鎮市民代表]屏東縣恆春鎮第4選舉區,5
[鄉鎮市民代表]屏東縣萬丹鄉第1選舉區,3
[鄉鎮市民代表]屏東縣萬丹鄉第2選舉區,6
[鄉鎮市民代表]屏東縣萬丹鄉第3選舉區,2
[鄉鎮市民代表]屏東縣萬丹鄉第4選舉區,4
[鄉鎮市民代表]屏東縣長治鄉第1選舉區,7
[鄉鎮市民代表]屏東縣長治鄉第2選舉區,4
[鄉鎮市民代表]屏東縣長治鄉第3選舉區,5
[鄉鎮市民代表]屏東縣麟洛鄉第1選舉區,3
[鄉鎮市民代表]屏東縣麟洛鄉第2選舉區,4
[鄉鎮市民代表]屏東縣麟洛鄉第3選舉區,4
[鄉鎮市民代表]屏東縣麟洛鄉第4選舉區,4
[鄉鎮市民代表]屏東縣九如鄉第1選舉區,5
[鄉鎮市民代表]屏東縣九如鄉第2選舉區,5
[鄉鎮市民代表]屏東縣九如鄉第3選舉區,2
[鄉鎮市民代表]屏東縣九如鄉第4選舉區,2
[鄉鎮市民代表]屏東縣里港鄉第1選舉區,4
[鄉鎮市民代表]屏東縣里港鄉第2選舉區,4
[鄉鎮市民代表]屏東縣里港鄉第3選舉區,5
[鄉鎮市民代表]屏東縣里港鄉第4選舉區,4
[鄉鎮市民代表]屏東縣鹽埔鄉第1選舉區,7
[鄉鎮市民代表]屏東縣鹽埔鄉第2選舉區,2
[鄉鎮市民代表]屏東縣鹽埔鄉第3選舉區,3
[鄉鎮市民代表]屏東縣鹽埔鄉第4選舉區,2
[鄉鎮市民代表]屏東縣高樹鄉第1選舉區,7
[鄉鎮市民代表]屏東縣高樹鄉第2選舉區,3
[鄉鎮市民代表]屏東縣高樹鄉第3選舉區,5
[鄉鎮市民代表]屏東縣高樹鄉第4選舉區,4
[鄉鎮市民代表]屏東縣萬巒鄉第1選舉區,6
[鄉鎮市民代表]屏東縣萬巒鄉第2選舉區,3
[鄉鎮市民代表]屏東縣萬巒鄉第3選舉區,3
[鄉鎮市民代表]屏東縣萬巒鄉第4選舉區,8
[鄉鎮市民代表]屏東縣內埔鄉第1選舉區,10
[鄉鎮市民代表]屏東縣內埔鄉第2選舉區,4
[鄉鎮市民代表]屏東縣內埔鄉第3選舉區,2
[鄉鎮市民代表]屏東縣內埔鄉第4選舉區,6
[鄉鎮市民代表]屏東縣竹田鄉第1選舉區,7
[鄉鎮市民代表]屏東縣竹田鄉第2選舉區,6
[鄉鎮市民代表]屏東縣竹田鄉第3選舉區,7
[鄉鎮市民代表]屏東縣新埤鄉第1選舉區,7
[鄉鎮市民代表]屏東縣新埤鄉第2選舉區,3
[鄉鎮市民代表]屏東縣新埤鄉第3選舉區,3
[鄉鎮市民代表]屏東縣新埤鄉第4選舉區,4
[鄉鎮市民代表]屏東縣枋寮鄉第1選舉區,8
[鄉鎮市民代表]屏東縣枋寮鄉第2選舉區,5
[鄉鎮市民代表]屏東縣枋寮鄉第3選舉區,4
[鄉鎮市民代表]屏東縣新園鄉第1選舉區,6
[鄉鎮市民代表]屏東縣新園鄉第2選舉區,4
[鄉鎮市民代表]屏東縣新園鄉第3選舉區,2
[鄉鎮市民代表]屏東縣新園鄉第4選舉區,5
[鄉鎮市民代表]屏東縣崁頂鄉第1選舉區,5
[鄉鎮市民代表]屏東縣崁頂鄉第2選舉區,2
[鄉鎮市民代表]屏東縣崁頂鄉第3選舉區,3
[鄉鎮市民代表]屏東縣崁頂鄉第4選舉區,4
[鄉鎮市民代表]屏東縣林邊鄉第1選舉區,6
[鄉鎮市民代表]屏東縣林邊鄉第2選舉區,5
[鄉鎮市民代表]屏東縣林邊鄉第3選舉區,3
[鄉鎮市民代表]屏東縣南州鄉第1選舉區,8
[鄉鎮市民代表]屏東縣南州鄉第2選舉區,2
[鄉鎮市民代表]屏東縣南州鄉第3選舉區,6
[鄉鎮市民代表]屏東縣南州鄉第4選舉區,4
[鄉鎮市民代表]屏東縣佳冬鄉第1選舉區,4
[鄉鎮市民代表]屏東縣佳冬鄉第2選舉區,3
[鄉鎮市民代表]屏東縣佳冬鄉第3選舉區,4
[鄉鎮市民代表]屏東縣佳冬鄉第4選舉區,4
[鄉鎮市民代表]屏東縣琉球鄉第1選舉區,3
[鄉鎮市民代表]屏東縣琉球鄉第2選舉區,5
[鄉鎮市民代表]屏東縣琉球鄉第3選舉區,3
[鄉鎮市民代表]屏東縣琉球鄉第4選舉區,6
[鄉鎮市民代表]屏東縣車城鄉第1選舉區,1
[鄉鎮市民代表]屏東縣車城鄉第2選舉區,5
[鄉鎮市民代表]屏東縣車城鄉第3選舉區,2
[鄉鎮市民代表]屏東縣車城鄉第4選舉區,4
[鄉鎮市民代表]屏東縣滿州鄉第1選舉區,6
[鄉鎮市民代表]屏東縣滿州鄉第2選舉區,4
[鄉鎮市民代表]屏東縣滿州鄉第3選舉區,3
[鄉鎮市民代表]屏東縣枋山鄉第1選舉區,1
[鄉鎮市民代表]屏東縣枋山鄉第2選舉區,4
[鄉鎮市民代表]屏東縣枋山鄉第3選舉區,5
[鄉鎮市民代表]屏東縣三地門鄉第1選舉區,8
[鄉鎮市民代表]屏東縣三地門鄉第2選舉區,7
[鄉鎮市民代表]屏東縣霧臺鄉第1選舉區,6
[鄉鎮市民代表]屏東縣霧臺鄉第2選舉區,5
[鄉鎮市民代表]屏東縣瑪家鄉第1選舉區,7
[鄉鎮市民代表]屏東縣瑪家鄉第2選舉區,6
[鄉鎮市民代表]屏東縣泰武鄉第1選舉區,9
[鄉鎮市民代表]屏東縣泰武鄉第2選舉區,6
[鄉鎮市民代表]屏東縣來義鄉第1選舉區,4
[鄉鎮市民代表]屏東縣來義鄉第2選舉區,5
[鄉鎮市民代表]屏東縣春日鄉第1選舉區,4
[鄉鎮市民代表]屏東縣春日鄉第2選舉區,5
[鄉鎮市民代表]屏東縣獅子鄉第1選舉區,5
[鄉鎮市民代表]屏東縣獅子鄉第2選舉區,6
[鄉鎮市民代表]屏東縣牡丹鄉第1選舉區,13
[鄉鎮市民代表]屏東縣牡丹鄉第2選舉區,4
[鄉鎮市民代表]屏東縣滿州鄉第4選舉區,3
[縣(市)長]臺東縣,5
[縣(市)議員]臺東縣第1選舉區,22
[縣(市)議員]臺東縣第2選舉區,2
[縣(市)議員]臺東縣第3選舉區,4
[縣(市)議員]臺東縣第4選舉區,3
[縣(市)議員]臺東縣第5選舉區,2
[縣(市)議員]臺東縣第6選舉區,2
[縣(市)議員]臺東縣第12選舉區,3
[縣(市)議員]臺東縣第13選舉區,2
[縣(市)議員]臺東縣第14選舉區,2
[縣(市)議員]臺東縣第15選舉區,2
[縣(市)議員]臺東縣第16選舉區,4
[縣(市)議員]臺東縣第7選舉區,7
[縣(市)議員]臺東縣第8選舉區,3
[縣(市)議員]臺東縣第9選舉區,2
[縣(市)議員]臺東縣第10選舉區,2
[縣(市)議員]臺東縣第11選舉區,5
[鄉鎮市長]臺東縣臺東市,2
[鄉鎮市長]臺東縣成功鎮,2
[鄉鎮市長]臺東縣關山鎮,2
[鄉鎮市長]臺東縣卑南鄉,1
[鄉鎮市長]臺東縣鹿野鄉,2
[鄉鎮市長]臺東縣池上鄉,1
[鄉鎮市長]臺東縣東河鄉,3
[鄉鎮市長]臺東縣長濱鄉,2
[鄉鎮市長]臺東縣太麻里鄉,2
[鄉鎮市長]臺東縣大武鄉,2
[鄉鎮市長]臺東縣綠島鄉,2
[鄉鎮市長]臺東縣海端鄉,4
[鄉鎮市長]臺東縣延平鄉,6
[鄉鎮市長]臺東縣金峰鄉,2
[鄉鎮市長]臺東縣達仁鄉,7
[鄉鎮市長]臺東縣蘭嶼鄉,15
[鄉鎮市民代表]臺東縣臺東市第1選舉區,4
[鄉鎮市民代表]臺東縣臺東市第2選舉區,13
[鄉鎮市民代表]臺東縣臺東市第3選舉區,9
[鄉鎮市民代表]臺東縣臺東市第4選舉區,3
[鄉鎮市民代表]臺東縣成功鎮第1選舉區,9
[鄉鎮市民代表]臺東縣關山鎮第1選舉區,5
[鄉鎮市民代表]臺東縣關山鎮第2選舉區,2
[鄉鎮市民代表]臺東縣關山鎮第3選舉區,1
[鄉鎮市民代表]臺東縣卑南鄉第1選舉區,8
[鄉鎮市民代表]臺東縣卑南鄉第2選舉區,3
[鄉鎮市民代表]臺東縣鹿野鄉第1選舉區,4
[鄉鎮市民代表]臺東縣鹿野鄉第2選舉區,3
[鄉鎮市民代表]臺東縣池上鄉第1選舉區,4
[鄉鎮市民代表]臺東縣池上鄉第2選舉區,2
[鄉鎮市民代表]臺東縣池上鄉第3選舉區,2
[鄉鎮市民代表]臺東縣東河鄉第1選舉區,4
[鄉鎮市民代表]臺東縣長濱鄉第1選舉區,6
[鄉鎮市民代表]臺東縣太麻里鄉第1選舉區,4
[鄉鎮市民代表]臺東縣太麻里鄉第2選舉區,5
[鄉鎮市民代表]臺東縣大武鄉第1選舉區,4
[鄉鎮市民代表]臺東縣綠島鄉第1選舉區,3
[鄉鎮市民代表]臺東縣綠島鄉第2選舉區,4
[鄉鎮市民代表]臺東縣綠島鄉第3選舉區,3
[鄉鎮市民代表]臺東縣海端鄉第1選舉區,2
[鄉鎮市民代表]臺東縣海端鄉第2選舉區,10
[鄉鎮市民代表]臺東縣海端鄉第3選舉區,4
[鄉鎮市民代表]臺東縣延平鄉第1選舉區,7
[鄉鎮市民代表]臺東縣延平鄉第2選舉區,4
[鄉鎮市民代表]臺東縣延平鄉第3選舉區,2
[鄉鎮市民代表]臺東縣金峰鄉第1選舉區,4
[鄉鎮市民代表]臺東縣金峰鄉第2選舉區,4
[鄉鎮市民代表]臺東縣金峰鄉第3選舉區,2
[鄉鎮市民代表]臺東縣達仁鄉第1選舉區,5
[鄉鎮市民代表]臺東縣達仁鄉第2選舉區,5
[鄉鎮市民代表]臺東縣達仁鄉第3選舉區,5
[鄉鎮市民代表]臺東縣臺東市第5選舉區,8
[鄉鎮市民代表]臺東縣成功鎮第2選舉區,9
[鄉鎮市民代表]臺東縣關山鎮第4選舉區,4
[鄉鎮市民代表]臺東縣卑南鄉第3選舉區,6
[鄉鎮市民代表]臺東縣鹿野鄉第3選舉區,3
[鄉鎮市民代表]臺東縣池上鄉第4選舉區,4
[鄉鎮市民代表]臺東縣東河鄉第2選舉區,10
[鄉鎮市民代表]臺東縣長濱鄉第2選舉區,7
[鄉鎮市民代表]臺東縣太麻里鄉第3選舉區,3
[鄉鎮市民代表]臺東縣太麻里鄉第4選舉區,5
[鄉鎮市民代表]臺東縣大武鄉第2選舉區,7
[縣(市)長]花蓮縣,3
[縣(市)議員]花蓮縣第1選舉區,17
[縣(市)議員]花蓮縣第2選舉區,4
[縣(市)議員]花蓮縣第3選舉區,14
[縣(市)議員]花蓮縣第4選舉區,6
[縣(市)議員]花蓮縣第5選舉區,7
[縣(市)議員]花蓮縣第6選舉區,7
[縣(市)議員]花蓮縣第7選舉區,5
[縣(市)議員]花蓮縣第8選舉區,3
[縣(市)議員]花蓮縣第9選舉區,4
[縣(市)議員]花蓮縣第10選舉區,2
[鄉鎮市長]花蓮縣花蓮市,3
[鄉鎮市長]花蓮縣鳳林鎮,2
[鄉鎮市長]花蓮縣玉里鎮,2
[鄉鎮市長]花蓮縣新城鄉,2
[鄉鎮市長]花蓮縣吉安鄉,4
[鄉鎮市長]花蓮縣壽豐鄉,3
[鄉鎮市長]花蓮縣光復鄉,3
[鄉鎮市長]花蓮縣豐濱鄉,2
[鄉鎮市長]花蓮縣瑞穗鄉,2
[鄉鎮市長]花蓮縣富里鄉,2
[鄉鎮市長]花蓮縣秀林鄉,3
[鄉鎮市長]花蓮縣萬榮鄉,2
[鄉鎮市長]花蓮縣卓溪鄉,2
[鄉鎮市民代表]花蓮縣花蓮市第1選舉區,9
[鄉鎮市民代表]花蓮縣花蓮市第2選舉區,1
[鄉鎮市民代表]花蓮縣花蓮市第3選舉區,7
[鄉鎮市民代表]花蓮縣花蓮市第4選舉區,11
[鄉鎮市民代表]花蓮縣花蓮市第5選舉區,4
[鄉鎮市民代表]花蓮縣鳳林鎮第1選舉區,7
[鄉鎮市民代表]花蓮縣鳳林鎮第2選舉區,4
[鄉鎮市民代表]花蓮縣鳳林鎮第3選舉區,1
[鄉鎮市民代表]花蓮縣鳳林鎮第4選舉區,3
[鄉鎮市民代表]花蓮縣玉里鎮第1選舉區,12
[鄉鎮市民代表]花蓮縣玉里鎮第2選舉區,2
[鄉鎮市民代表]花蓮縣玉里鎮第3選舉區,2
[鄉鎮市民代表]花蓮縣玉里鎮第4選舉區,3
[鄉鎮市民代表]花蓮縣新城鄉第1選舉區,2
[鄉鎮市民代表]花蓮縣新城鄉第2選舉區,8
[鄉鎮市民代表]花蓮縣新城鄉第3選舉區,4
[鄉鎮市民代表]花蓮縣新城鄉第4選舉區,4
[鄉鎮市民代表]花蓮縣吉安鄉第1選舉區,6
[鄉鎮市民代表]花蓮縣吉安鄉第2選舉區,6
[鄉鎮市民代表]花蓮縣吉安鄉第3選舉區,7
[鄉鎮市民代表]花蓮縣吉安鄉第4選舉區,4
[鄉鎮市民代表]花蓮縣壽豐鄉第1選舉區,6
[鄉鎮市民代表]花蓮縣壽豐鄉第2選舉區,3
[鄉鎮市民代表]花蓮縣壽豐鄉第3選舉區,2
[鄉鎮市民代表]花蓮縣壽豐鄉第4選舉區,7
[鄉鎮市民代表]花蓮縣光復鄉第1選舉區,6
[鄉鎮市民代表]花蓮縣光復鄉第2選舉區,3
[鄉鎮市民代表]花蓮縣光復鄉第3選舉區,5
[鄉鎮市民代表]花蓮縣光復鄉第4選舉區,4
[鄉鎮市民代表]花蓮縣豐濱鄉第1選舉區,2
[鄉鎮市民代表]花蓮縣豐濱鄉第2選舉區,9
[鄉鎮市民代表]花蓮縣瑞穗鄉第1選舉區,9
[鄉鎮市民代表]花蓮縣瑞穗鄉第2選舉區,4
[鄉鎮市民代表]花蓮縣瑞穗鄉第3選舉區,8
[鄉鎮市民代表]花蓮縣富里鄉第1選舉區,6
[鄉鎮市民代表]花蓮縣富里鄉第2選舉區,5
[鄉鎮市民代表]花蓮縣富里鄉第3選舉區,3
[鄉鎮市民代表]花蓮縣秀林鄉第1選舉區,13
[鄉鎮市民代表]花蓮縣秀林鄉第2選舉區,6
[鄉鎮市民代表]花蓮縣秀林鄉第3選舉區,9
[鄉鎮市民代表]花蓮縣萬榮鄉第1選舉區,4
[鄉鎮市民代表]花蓮縣萬榮鄉第2選舉區,5
[鄉鎮市民代表]花蓮縣萬榮鄉第3選舉區,6
[鄉鎮市民代表]花蓮縣卓溪鄉第1選舉區,4
[鄉鎮市民代表]花蓮縣卓溪鄉第2選舉區,8
[縣(市)長]澎湖縣,7
