"選舉區",登記日期,姓名,推薦之政黨,備註
"臺北市",107/08/27,李錫錕,無,
"臺北市",107/08/27,丁守中,中國國民黨,
"臺北市",107/08/29,姚文智,民主進步黨,
"臺北市",107/08/30,柯文哲,無,
"臺北市",107/08/30,吳蕚洋,無,
"新北市",107/08/30,蘇貞昌,民主進步黨,
"新北市",107/08/30,侯友宜,中國國民黨,
"桃園市",107/08/29,陳學聖,中國國民黨,
"桃園市",107/08/29,鄭文燦,民主進步黨,
"桃園市",107/08/30,朱梅雪,無,
"桃園市",107/08/31,吳富彤,無,
"桃園市",107/08/31,楊麗環,無,
"臺中市",107/08/27,盧秀燕,中國國民黨,
"臺中市",107/08/29,林佳龍,民主進步黨,
"臺中市",107/08/31,宋原通,無,
"臺南市",107/08/27,林義豐,無,
"臺南市",107/08/27,黃偉哲,民主進步黨,
"臺南市",107/08/29,高思博,中國國民黨,
"臺南市",107/08/29,許忠信,無,
"臺南市",107/08/30,蘇煥智,無,
"臺南市",107/08/30,陳永和,無,
"高雄市",107/08/27,蘇盈貴,無,
"高雄市",107/08/29,韓國瑜,中國國民黨,
"高雄市",107/08/30,璩美鳳,無,
"高雄市",107/08/31,陳其邁,民主進步黨,
