"選舉區",登記日期,姓名,推薦之政黨,備註
"新北市烏來區",107/08/27,陳勝財,無,
"新北市烏來區",107/08/29,張仁傑,無,
"新北市烏來區",107/08/29,周守信,無,
"新北市烏來區",107/08/30,蔡馬新,無,
"桃園市復興區",107/08/27,林誠榮,無,
"桃園市復興區",107/08/28,游正英,中國國民黨,
"桃園市復興區",107/08/30,曾志湘,無,
"臺中市和平區",107/08/29,林建堂,無,
"臺中市和平區",107/08/30,張瑞紘,中國國民黨,
"臺中市和平區",107/08/31,劉中平,無,
"臺中市和平區",107/08/31,謝光午,無,
"臺中市和平區",107/08/31,黃志雄,無,
"高雄市茂林區",107/08/27,駱韋志,無,
"高雄市茂林區",107/08/29,"宋能正Angopaw‧Komola",中國國民黨,
"高雄市桃源區",107/08/27,顏裕華,無,
"高雄市桃源區",107/08/29,謝英雄,中國國民黨,
"高雄市那瑪夏區",107/08/27,朱莎葳,無,
"高雄市那瑪夏區",107/08/29,李秀花,無,
"高雄市那瑪夏區",107/08/29,林民傑,無,
"高雄市那瑪夏區",107/08/30,孔賢傑,無,
