"選舉區",登記日期,姓名,推薦之政黨,備註
"新竹縣竹北市",107/08/27,何淦銘,,
"新竹縣竹北市",107/08/28,楊敬賜,中國國民黨,
"新竹縣竹北市",107/08/29,陳榮燦,,
"新竹縣竹東鎮",107/08/28,吳勝松,中國國民黨,
"新竹縣竹東鎮",107/08/28,羅吉祥,中國國民黨,
"新竹縣新埔鎮",107/08/27,林保祿,,
"新竹縣關西鎮",107/08/28,劉德樑,中國國民黨,
"新竹縣關西鎮",107/08/29,黃源慶,,
"新竹縣關西鎮",107/08/30,邱春桃,,
"新竹縣湖口鄉",107/08/29,林志華,中國國民黨,
"新竹縣湖口鄉",107/08/31,張春鳳,,
"新竹縣新豐鄉",107/08/27,羅春蘭,,
"新竹縣新豐鄉",107/08/27,林祺鐵,民主進步黨,
"新竹縣新豐鄉",107/08/28,黃金樓,,
"新竹縣新豐鄉",107/08/29,許秋澤,中國國民黨,
"新竹縣新豐鄉",107/08/29,徐煒傑,,
"新竹縣新豐鄉",107/08/29,姜政焜,,
"新竹縣新豐鄉",107/08/31,何寬森,,
"新竹縣芎林鄉",107/08/27,黃正彪,中國國民黨,
"新竹縣芎林鄉",107/08/27,楊秋賢,中國國民黨,
"新竹縣橫山鄉",107/08/27,張志弘,中國國民黨,
"新竹縣橫山鄉",107/08/28,彭裕文,,
"新竹縣北埔鄉",107/08/31,陳權欣,,
"新竹縣北埔鄉",107/08/30,楊葵琇,,
"新竹縣北埔鄉",107/08/29,姜良明,,
"新竹縣北埔鄉",107/08/28,莊明增,中國國民黨,
"新竹縣北埔鄉",107/08/27,彭國榮,,
"新竹縣寶山鄉",107/08/27,范玉燕,,
"新竹縣寶山鄉",107/08/28,邱坤桶,中國國民黨,
"新竹縣峨眉鄉",107/08/30,黃森昌,,
"新竹縣峨眉鄉",107/08/30,王增忠,中國國民黨,
"新竹縣尖石鄉",107/08/27,曾國大,中國國民黨,
"新竹縣尖石鄉",107/08/31,范坤松,,
"新竹縣五峰鄉",107/08/27,曾榮貴,中國國民黨,
"新竹縣五峰鄉",107/08/29,朱劍鳴,,
"新竹縣五峰鄉",107/08/30,張輝榮,,
"新竹縣五峰鄉",107/08/31,葛忠義,,
"苗栗縣苗栗市",107/08/29,張喜慶,,
"苗栗縣苗栗市",107/08/31,邱鎮軍,中國國民黨,
"苗栗縣苗栗市",107/08/31,賴桂煖,,
"苗栗縣苑裡鎮",107/08/27,劉秋東,,
"選舉區",登記日期,姓名,推薦之政黨,備註
"苗栗縣苑裡鎮",107/08/31,陳薈茗,,
"苗栗縣通霄鎮",107/08/27,杜文卿,,
"苗栗縣通霄鎮",107/08/29,巫恒昭,,
"苗栗縣通霄鎮",107/08/29,邱德宏,,
"苗栗縣通霄鎮",107/08/30,陳漢志,,
"苗栗縣通霄鎮",107/08/30,周玉滿,,
"苗栗縣竹南鎮",107/08/27,康世儒,,
"苗栗縣竹南鎮",107/08/27,連森裕,,
"苗栗縣竹南鎮",107/08/29,陳聖元,民主進步黨,
"苗栗縣竹南鎮",107/08/29,方進興,中國國民黨,
"苗栗縣竹南鎮",107/08/30,謝端容,中國國民黨,
"苗栗縣頭份市",107/08/27,黃育烈,,
"苗栗縣頭份市",107/08/29,陳永賢,中國國民黨,
"苗栗縣頭份市",107/08/29,羅雪珠,,
"苗栗縣後龍鎮",107/08/27,湯美雲,,
"苗栗縣後龍鎮",107/08/28,朱秋隆,中國國民黨,
"苗栗縣卓蘭鎮",107/08/27,詹坤金,,
"苗栗縣卓蘭鎮",107/08/29,詹錦章,,
"苗栗縣大湖鄉",107/08/31,陳永福,,
"苗栗縣大湖鄉",107/08/28,胡娘妹,中國國民黨,
"苗栗縣公館鄉",107/08/27,曾美露,中國國民黨,
"苗栗縣銅鑼鄉",107/08/28,謝昌年,,
"苗栗縣銅鑼鄉",107/08/29,李瑞廷,中國國民黨,
"苗栗縣南庄鄉",107/08/28,邱梓增,,
"苗栗縣南庄鄉",107/08/30,劉月梅,中國國民黨,
"苗栗縣頭屋鄉",107/08/27,徐月蘭,,
"苗栗縣頭屋鄉",107/08/29,彭正榮,,
"苗栗縣頭屋鄉",107/08/30,徐鑫榮,,
"苗栗縣三義鄉",107/08/27,劉騏勝,,
"苗栗縣三義鄉",107/08/27,鄭淑如,,
"苗栗縣三義鄉",107/08/30,呂明忠,中國國民黨,
"苗栗縣西湖鄉",107/08/29,高阿賜,,
"苗栗縣造橋鄉",107/08/27,黃天貴,中國國民黨,
"苗栗縣三灣鄉",107/08/27,溫志強,,
"苗栗縣獅潭鄉",107/08/28,李春貴,,
"苗栗縣獅潭鄉",107/08/28,謝春梅,中國國民黨,
"苗栗縣泰安鄉",107/08/27,"劉美蘭Iwan.Sigiy",中國國民黨,
"苗栗縣泰安鄉",107/08/28,陳吉基,,
"苗栗縣泰安鄉",107/08/29,盧光明,民主進步黨,
"選舉區",登記日期,姓名,推薦之政黨,備註
"彰化縣彰化市",107/08/28,林世賢,民主進步黨,
"彰化縣彰化市",107/08/30,黄玉芬,,
"彰化縣鹿港鎮",107/08/27,許志宏,中國國民黨,
"彰化縣鹿港鎮",107/08/28,施性鍾,,
"彰化縣鹿港鎮",107/08/29,黃敦義,,
"彰化縣鹿港鎮",107/08/30,潘順良,民主進步黨,
"彰化縣和美鎮",107/08/28,陳文彬,民主進步黨,
"彰化縣和美鎮",107/08/28,阮厚爵,中國國民黨,
"彰化縣線西鄉",107/08/28,蘇韋峻,,
"彰化縣線西鄉",107/08/28,黃浚豪,,
"彰化縣伸港鄉",107/08/29,曾煥彰,中國國民黨,
"彰化縣福興鄉",107/08/27,蔣煙燈,民主進步黨,
"彰化縣福興鄉",107/08/29,粘勝傑,,
"彰化縣福興鄉",107/08/30,許誠龍,中國國民黨,
"彰化縣秀水鄉",107/08/27,林英嘉,,
"彰化縣秀水鄉",107/08/29,梁禎祥,民主進步黨,
"彰化縣秀水鄉",107/08/29,陳文欣,中國國民黨,
"彰化縣秀水鄉",107/08/31,丁金山,,
"彰化縣花壇鄉",107/08/28,陳振欽,民主進步黨,
"彰化縣花壇鄉",107/08/28,李岳珉,,
"彰化縣花壇鄉",107/08/29,賴世祥,,
"彰化縣花壇鄉",107/08/29,顧勝敏,中國國民黨,
"彰化縣芬園鄉",107/08/27,林世明,民主進步黨,
"彰化縣芬園鄉",107/08/29,曾世勇,中國國民黨,
"彰化縣員林市",107/08/27,陳秋蓉,民主進步黨,
"彰化縣員林市",107/08/27,張文和,,
"彰化縣員林市",107/08/27,林錦泉,,
"彰化縣員林市",107/08/28,李金龍,,
"彰化縣員林市",107/08/29,游振雄,中國國民黨,
"彰化縣溪湖鎮",107/08/29,黃瑞珠,中國國民黨,
"彰化縣溪湖鎮",107/08/29,楊福建,民主進步黨,
"彰化縣田中鎮",107/08/27,謝文賢,,
"彰化縣田中鎮",107/08/28,謝秉儒,中國國民黨,
"彰化縣田中鎮",107/08/30,洪麗娜,,
"彰化縣田中鎮",107/08/31,陳信國,,
"彰化縣大村鄉",107/08/28,賴錫卿,民主進步黨,
"彰化縣大村鄉",107/08/29,游盛,中國國民黨,
"彰化縣埔鹽鄉",107/08/27,施燈源,,
"彰化縣埔鹽鄉",107/08/27,黄素錦,,
"彰化縣埔鹽鄉",107/08/27,施建樑,中國國民黨,
"彰化縣埔鹽鄉",107/08/28,許文萍,,
"選舉區",登記日期,姓名,推薦之政黨,備註
"彰化縣埔鹽鄉",107/08/28,陳東松,,
"彰化縣埔鹽鄉",107/08/30,林斯明,,
"彰化縣埔心鄉",107/08/27,黃金吉,,
"彰化縣埔心鄉",107/08/28,張乘瑜,民主進步黨,
"彰化縣埔心鄉",107/08/28,謝采純,中國國民黨,
"彰化縣埔心鄉",107/08/28,葉俊傑,,
"彰化縣埔心鄉",107/08/30,張佩瑩,,
"彰化縣永靖鄉",107/08/28,陳丁進,,
"彰化縣永靖鄉",107/08/29,詹木根,,
"彰化縣永靖鄉",107/08/30,邱榮昌,,
"彰化縣社頭鄉",107/08/27,劉錦昌,民主進步黨,
"彰化縣社頭鄉",107/08/31,蘇芳蘭,中國國民黨,
"彰化縣二水鄉",107/08/28,蘇界欽,,
"彰化縣二水鄉",107/08/28,鄭蒼陽,,
"彰化縣北斗鎮",107/08/27,李玄在,中國國民黨,
"彰化縣北斗鎮",107/08/27,王東魚,民主進步黨,
"彰化縣北斗鎮",107/08/30,顏宏霖,,
"彰化縣北斗鎮",107/08/31,顏旭信,,
"彰化縣二林鎮",107/08/27,陳光輝,,
"彰化縣二林鎮",107/08/30,蔡詩傑,,
"彰化縣二林鎮",107/08/30,曾萬火,,
"彰化縣田尾鄉",107/08/29,黃坤煌,,
"彰化縣田尾鄉",107/08/30,許登旺,,
"彰化縣田尾鄉",107/08/31,林守政,,
"彰化縣埤頭鄉",107/08/27,杜懿彩,,
"彰化縣埤頭鄉",107/08/28,陳滄炅,,
"彰化縣埤頭鄉",107/08/29,謝志能,民主進步黨,
"彰化縣埤頭鄉",107/08/29,蕭秋龍,,
"彰化縣芳苑鄉",107/08/28,洪和炉,民主進步黨,
"彰化縣芳苑鄉",107/08/29,林保玲,中國國民黨,
"彰化縣芳苑鄉",107/08/31,林濟民,,
"彰化縣大城鄉",107/08/29,蔡鴻喜,民主進步黨,
"彰化縣大城鄉",107/08/31,陳楨宜,中國國民黨,
"彰化縣竹塘鄉",107/08/28,蔡碩任,,
"彰化縣竹塘鄉",107/08/30,林浚熙,民主進步黨,
"彰化縣溪州鄉",107/08/27,李俊諭,民主進步黨,
"彰化縣溪州鄉",107/08/29,江淑芬,中國國民黨,
"彰化縣溪州鄉",107/08/30,黃學信,,
"彰化縣溪州鄉",107/08/30,劉禮財,,
"南投縣南投市",107/08/27,宋懷琳,中國國民黨,
"南投縣南投市",107/08/29,張美蘭,,
"選舉區",登記日期,姓名,推薦之政黨,備註
"南投縣埔里鎮",107/08/27,吳國昌,中國國民黨,
"南投縣埔里鎮",107/08/27,蔡清輝,,
"南投縣埔里鎮",107/08/28,廖志城,民主進步黨,
"南投縣草屯鎮",107/08/27,簡景賢,中國國民黨,
"南投縣草屯鎮",107/08/27,林永鴻,民主進步黨,
"南投縣草屯鎮",107/08/28,周信利,,
"南投縣竹山鎮",107/08/27,黃丹怡,民主進步黨,
"南投縣竹山鎮",107/08/28,蔡宜助,中國國民黨,
"南投縣竹山鎮",107/08/29,陳東睦,,
"南投縣集集鎮",107/08/27,吳大村,中國國民黨,
"南投縣集集鎮",107/08/28,陳嬉旻,,
"南投縣集集鎮",107/08/29,吳正國,,
"南投縣集集鎮",107/08/29,陳紀衡,,
"南投縣名間鄉",107/08/28,陳聰鑑,民主進步黨,
"南投縣名間鄉",107/08/28,陳文德,,
"南投縣鹿谷鄉",107/08/27,邱如平,,
"南投縣鹿谷鄉",107/08/29,許素霞,中國國民黨,
"南投縣中寮鄉",107/08/27,廖宜賢,中國國民黨,
"南投縣中寮鄉",107/08/27,張裕發,,
"南投縣中寮鄉",107/08/28,蕭同宏,,
"南投縣中寮鄉",107/08/30,陳坤星,民主進步黨,
"南投縣魚池鄉",107/08/27,王聖中,,
"南投縣魚池鄉",107/08/27,黃馨瑩,中國國民黨,
"南投縣魚池鄉",107/08/28,劉啟帆,民主進步黨,
"南投縣國姓鄉",107/08/28,丘埔生,,
"南投縣國姓鄉",107/08/31,邱美玲,中國國民黨,
"南投縣水里鄉",107/08/27,陳癸佑,,
"南投縣水里鄉",107/08/27,徐國賢,,
"南投縣水里鄉",107/08/29,江龍漢,,
"南投縣水里鄉",107/08/29,陳中明,中國國民黨,
"南投縣信義鄉",107/08/27,全志堅,中國國民黨,
"南投縣信義鄉",107/08/28,全正文,,
"南投縣信義鄉",107/08/29,伍聰仁,中國國民黨,
"南投縣信義鄉",107/08/31,羅瑞卿,,
"南投縣信義鄉",107/08/31,黃秋龍,,
"南投縣仁愛鄉",107/08/28,吳文忠,,
"南投縣仁愛鄉",107/08/30,江子信,中國國民黨,
"南投縣仁愛鄉",107/08/31,賴明約,,
"雲林縣斗六市",107/08/27,林慧如,民主進步黨,
"雲林縣斗六市",107/08/29,林聖爵,中國國民黨,
"雲林縣斗六市",107/08/30,黃劭偉,,
"選舉區",登記日期,姓名,推薦之政黨,備註
"雲林縣斗南鎮",107/08/27,張有擇,中國國民黨,
"雲林縣斗南鎮",107/08/28,簡慈坊,,
"雲林縣斗南鎮",107/08/29,沈暉勛,,
"雲林縣斗南鎮",107/08/31,吳滄得,民主進步黨,
"雲林縣虎尾鎮",107/08/29,丁學忠,,
"雲林縣虎尾鎮",107/08/29,林新丁,民主進步黨,
"雲林縣虎尾鎮",107/08/28,陳威成,,
"雲林縣虎尾鎮",107/08/28,陳獻堂,,
"雲林縣西螺鎮",107/08/27,鍾任明,中國國民黨,
"雲林縣西螺鎮",107/08/28,鄭玲惠,民主進步黨,
"雲林縣西螺鎮",107/08/30,蕭澤梧,,
"雲林縣西螺鎮",107/08/30,蔡德福,中國國民黨,
"雲林縣西螺鎮",107/08/31,鍾美雲,,
"雲林縣土庫鎮",107/08/28,張新榮,,
"雲林縣土庫鎮",107/08/28,張榮麗,民主進步黨,
"雲林縣土庫鎮",107/08/29,陳慶助,,
"雲林縣北港鎮",107/08/27,蕭永義,,
"雲林縣北港鎮",107/08/28,張勝智,民主進步黨,
"雲林縣古坑鄉",107/08/27,黃意玲,民主進步黨,
"雲林縣古坑鄉",107/08/27,沈勝騰,,
"雲林縣大埤鄉",107/08/27,王豊吉,,
"雲林縣大埤鄉",107/08/27,林朝寶,,
"雲林縣大埤鄉",107/08/29,張啓學,,
"雲林縣大埤鄉",107/08/30,陳大松,民主進步黨,
"雲林縣大埤鄉",107/08/30,林森寳,,
"雲林縣莿桐鄉",107/08/28,廖秋蓉,民主進步黨,
"雲林縣莿桐鄉",107/08/29,林靖焜,,
"雲林縣林內鄉",107/08/27,張維崢,民主進步黨,
"雲林縣林內鄉",107/08/31,鄭麗疇,,
"雲林縣二崙鄉",107/08/27,楊創民,,
"雲林縣二崙鄉",107/08/29,鍾福助,民主進步黨,
"雲林縣崙背鄉",107/08/27,李泓儀,民主進步黨,
"雲林縣崙背鄉",107/08/27,李慶隆,,
"雲林縣崙背鄉",107/08/29,李合同,中國國民黨,
"雲林縣麥寮鄉",107/08/31,蔡長昆,,
"雲林縣東勢鄉",107/08/28,林維戊,,
"雲林縣東勢鄉",107/08/28,張健福,民主進步黨,
"雲林縣褒忠鄉",107/08/27,陳建名,民主進步黨,
"雲林縣褒忠鄉",107/08/29,黃麗花,中國國民黨,
"雲林縣臺西鄉",107/08/28,林芬瑩,,
"雲林縣臺西鄉",107/08/29,趙瑞和,民主進步黨,
"選舉區",登記日期,姓名,推薦之政黨,備註
"雲林縣元長鄉",107/08/28,李明明,民主進步黨,
"雲林縣元長鄉",107/08/31,李榮章,,
"雲林縣四湖鄉",107/08/27,蘇國瓏,,
"雲林縣四湖鄉",107/08/27,鄭國川,,
"雲林縣四湖鄉",107/08/30,吳孟宗,,
"雲林縣口湖鄉",107/08/30,李宗霖,,
"雲林縣口湖鄉",107/08/30,林哲凌,民主進步黨,
"雲林縣水林鄉",107/08/28,李明遠,,
"雲林縣水林鄉",107/08/28,許山埜,民主進步黨,
"雲林縣水林鄉",107/08/31,李漢卿,,
"嘉義縣太保市",107/08/28,黃榮利,民主進步黨,
"嘉義縣朴子市",107/08/29,黃基全,民主進步黨,
"嘉義縣朴子市",107/08/30,吳品叡,,
"嘉義縣朴子市",107/08/30,黃福卿,,
"嘉義縣布袋鎮",107/08/27,陳鳯梅,民主進步黨,
"嘉義縣大林鎮",107/08/27,陳春一,,
"嘉義縣大林鎮",107/08/27,葉和平,民主進步黨,
