政黨,選舉類型,選舉區,姓名
中國國家社會主義勞工黨,村里長,臺北市北投區關渡里,黃世豪
台灣進步黨,村里長,新北市永和區中興里,曾文聖
經濟黨,村里長,新北市汐止區東山里,霍秀珍
正義聯盟,村里長,桃園市中壢區福德里,藍愿琬
台灣學習黨,村里長,桃園市中壢區至善里,江富朋
聾國黨,村里長,臺中市東區旱溪里,柴壽華
全國人民黨,村里長,臺中市豐原區頂街里,劉明福
世界大同黨,村里長,臺中市大里區西榮里,蔡緒瀠
中華文化民主黨,村里長,彰化縣溪湖鎮西勢里,曹景彬
農民黨,村里長,嘉義縣番路鄉內甕村,張景添
舊臺灣,村里長,金門縣金寧鄉安美村,邱王義
新政世紀黨,直轄市議員,臺北市第3選舉區,蕭赫麟
公民黨,直轄市議員,臺北市第4選舉區,楊仟慧
中國民主進步黨,直轄市議員,臺北市第5選舉區,張秀葉
愛心黨,直轄市議員,臺北市第6選舉區,李克焜
正黨,直轄市議員,新北市第2選舉區,林麗容
中華世界大同幸福勞動聯盟,直轄市議員,新北市第9選舉區,謝簡
中華婦女黨,直轄市議員,臺中市第8選舉區,陳習珍
臺灣人民共產黨,直轄市議員,臺南市第1選舉區,林德旺
全民生活政策黨,縣市議員,基隆市第6選舉區,周懷湘
金門高粱黨,縣市長,金門縣,洪志恒
教科文預算保障e聯盟,縣市長,金門縣,汪承樺
新生黨,鄉鎮市民代表,屏東縣滿州鄉第4選舉區,潘榮源
自由台灣黨,鄉鎮市長,屏東縣枋寮鄉,丁勇智
天宙和平統一家庭黨,村里長,新北市樹林區山佳里,陳志松
天宙和平統一家庭黨,村里長,臺東縣臺東市豐榮里,劉春美
台灣整復師聯盟工黨,村里長,新北市三峽區中埔里,林大椉
台灣整復師聯盟工黨,直轄市議員,臺中市第4選舉區,劉劍鋒
華裔和合黨,村里長,桃園市桃園區青溪里,吳基東
華裔和合黨,鄉鎮市民代表,彰化縣二林鎮第2選舉區,陳文明
皇君人民政黨,村里長,雲林縣東勢鄉東南村,丁慧如
皇君人民政黨,縣市議員,雲林縣第5選舉區,丁慶錡
軍公教聯盟黨,直轄市議員,桃園市第14選舉區,林秋霖
