政黨,選舉類型,選舉區,姓名
軍公教聯盟黨,直轄市議員,臺中市第15選舉區,江愛珍
臺灣前進黨,鄉鎮市民代表,屏東縣獅子鄉第1選舉區,白千玉
臺灣前進黨,鄉鎮市長,屏東縣恆春鎮,釋慧德
左翼聯盟,村里長,高雄市鳳山區二甲里,楊添貴
左翼聯盟,直轄市議員,臺北市第6選舉區,黃德北
左翼聯盟,直轄市議員,桃園市第8選舉區,劉念雲
信心希望聯盟,直轄市議員,臺中市第8選舉區,簡孟軒
信心希望聯盟,直轄市議員,臺中市第9選舉區,江秉彝
信心希望聯盟,直轄市議員,高雄市第4選舉區,梁蓓禎
信心希望聯盟,縣市議員,臺東縣第12選舉區,伊藍•明基努安
勞動黨,縣市議員,新竹縣第2選舉區,羅美文
勞動黨,縣市議員,新竹縣第5選舉區,陳新源
勞動黨,縣市議員,南投縣第8選舉區,普乎克.畢夫
勞動黨,鄉鎮市民代表,新竹縣湖口鄉第1選舉區,羅國湧
社會民主黨,直轄市議員,臺北市第1選舉區,劉仕傑
社會民主黨,直轄市議員,臺北市第2選舉區,陳又新
社會民主黨,直轄市議員,臺北市第3選舉區,游藝
社會民主黨,直轄市議員,臺北市第5選舉區,許菡芸
社會民主黨,直轄市議員,臺北市第6選舉區,苗博雅
民國黨,直轄市議員,臺北市第3選舉區,徐世勲
民國黨,直轄市議員,桃園市第8選舉區,張誠
民國黨,縣市議員,新竹縣第1選舉區,吳旭智
民國黨,縣市議員,新竹縣第1選舉區,邱靖雅
民國黨,縣市議員,基隆市第4選舉區,楊石城
民國黨,縣市長,新竹縣,徐欣瑩
人民民主黨,村里長,臺北市萬華區富民里,蕭怡婷
人民民主黨,村里長,臺北市士林區岩山里,鄭小塔
人民民主黨,村里長,臺北市北投區奇岩里,侯務葵
人民民主黨,村里長,新北市中和區中安里,袁孔琪
人民民主黨,村里長,基隆市中山區和平里,邱愉茹
人民民主黨,直轄市議員,臺北市第1選舉區,王芝安
人民民主黨,鄉鎮市民代表,花蓮縣吉安鄉第2選舉區,王淑娟
新黨,直轄市議員,臺北市第1選舉區,潘懷宗
新黨,直轄市議員,臺北市第1選舉區,侯漢廷
新黨,直轄市議員,臺北市第2選舉區,趙家蓉
新黨,直轄市議員,臺北市第3選舉區,林明正
新黨,直轄市議員,臺北市第4選舉區,蘇恆
新黨,直轄市議員,臺北市第6選舉區,陳彥伯
新黨,直轄市議員,新北市第4選舉區,王汝聰
新黨,直轄市議員,新北市第5選舉區,蔡明璋
無黨團結聯盟,直轄市議員,新北市第1選舉區,蔡錦賢
無黨團結聯盟,直轄市議員,新北市第5選舉區,游輝宂
無黨團結聯盟,直轄市議員,高雄市第1選舉區,朱信強
無黨團結聯盟,直轄市議員,高雄市第9選舉區,楊見福
無黨團結聯盟,直轄市議員,高雄市第10選舉區,李順進
無黨團結聯盟,縣市議員,澎湖縣第1選舉區,胡松榮
無黨團結聯盟,縣市議員,澎湖縣第1選舉區,鄭美珠
無黨團結聯盟,縣市議員,澎湖縣第2選舉區,成萬貫
台灣團結聯盟,村里長,高雄市鼓山區龍水里,洪玉珍
台灣團結聯盟,直轄市議員,臺北市第3選舉區,葉智遠
台灣團結聯盟,直轄市議員,臺南市第7選舉區,楊中成
台灣團結聯盟,直轄市議員,臺南市第10選舉區,陳昌輝
台灣團結聯盟,直轄市議員,高雄市第7選舉區,黃淑美
台灣團結聯盟,直轄市議員,高雄市第8選舉區,蔡鴻瑋
台灣團結聯盟,直轄市議員,高雄市第10選舉區,吳銘賜
台灣團結聯盟,縣市議員,雲林縣第3選舉區,王鈺齊
台灣團結聯盟,縣市議員,屏東縣第3選舉區,潘長成
台灣團結聯盟,縣市議員,嘉義市第1選舉區,蔡永泉
中華統一促進黨,村里長,新北市中和區安平里,孫祥驥
中華統一促進黨,村里長,新北市永和區協和里,王啟鑌
中華統一促進黨,村里長,新北市鶯歌區同慶里,林禹辰
中華統一促進黨,村里長,新北市鶯歌區東湖里,呂阿添
中華統一促進黨,村里長,彰化縣員林市黎明里,吳秀戀
中華統一促進黨,村里長,屏東縣滿州鄉長樂村,莊明雄
中華統一促進黨,直轄市議員,臺北市第3選舉區,李承龍
中華統一促進黨,縣市議員,苗栗縣第4選舉區,張梅蘭
中華統一促進黨,縣市議員,苗栗縣第5選舉區,曾正生
中華統一促進黨,縣市議員,彰化縣第1選舉區,陳清峰
中華統一促進黨,縣市議員,屏東縣第5選舉區,何麗莉
綠黨,直轄市議員,新北市第2選舉區,賈伯楷
綠黨,直轄市議員,桃園市第1選舉區,羅岳峰
綠黨,直轄市議員,桃園市第7選舉區,王浩宇
綠黨,直轄市議員,桃園市第8選舉區,歐陽霆
綠黨,縣市議員,新竹縣第8選舉區,余筱菁
綠黨,縣市議員,新竹市第1選舉區,劉崇顯
綠黨,縣市議員,新竹市第2選舉區,張志偉
綠黨,縣市議員,新竹市第3選舉區,易俊廷
綠黨,縣市議員,新竹市第4選舉區,易俊宏
綠黨,縣市議員,新竹市第5選舉區,王彥涵
綠黨,鄉鎮市民代表,新竹縣竹北市第2選舉區,陳冠宇
中華民族致公黨,村里長,臺北市松山區介壽里,林妤潔
中華民族致公黨,村里長,臺北市松山區吉祥里,張智强
中華民族致公黨,村里長,臺北市中山區中山里,許鍵宏
中華民族致公黨,村里長,桃園市觀音區廣興里,田俊麒
中華民族致公黨,村里長,桃園市觀音區上大里,宋士林
中華民族致公黨,直轄市議員,臺北市第3選舉區,王振鴻
中華民族致公黨,直轄市議員,臺北市第4選舉區,王鴻芸
中華民族致公黨,縣市議員,金門縣第2選舉區,蔡春生
中華民族致公黨,鄉鎮市民代表,金門縣金湖鎮金湖鎮選舉區,林麗芬
中華民族致公黨,鄉鎮市民代表,金門縣金湖鎮金湖鎮選舉區,陳水德
中華民族致公黨,鄉鎮市民代表,金門縣金湖鎮金湖鎮選舉區,蔡建立
中華民族致公黨,鄉鎮市民代表,金門縣金湖鎮金湖鎮選舉區,張中法
基進黨,直轄市議員,臺北市第1選舉區,王映心
基進黨,直轄市議員,臺北市第2選舉區,蕭筱臻
基進黨,直轄市議員,新北市第2選舉區,張舒婷
基進黨,直轄市議員,臺南市第2選舉區,蘇鈺雯
基進黨,直轄市議員,臺南市第5選舉區,王姬方
基進黨,直轄市議員,臺南市第9選舉區,陳嘉伶
基進黨,直轄市議員,臺南市第10選舉區,李宗霖
基進黨,直轄市議員,高雄市第4選舉區,李欣翰
基進黨,直轄市議員,高雄市第6選舉區,洪正
基進黨,直轄市議員,高雄市第7選舉區,陳柏惟
基進黨,直轄市議員,高雄市第9選舉區,李雨蓁
基進黨,直轄市議員,高雄市第10選舉區,陳信諭
樹黨,村里長,新北市中和區秀明里,林婉瑜
樹黨,直轄市議員,臺北市第2選舉區,吳曉東
樹黨,直轄市議員,臺北市第3選舉區,林柏勛
樹黨,直轄市議員,臺北市第4選舉區,潘翰疆
樹黨,直轄市議員,臺北市第6選舉區,林逸萍
樹黨,直轄市議員,新北市第8選舉區,吳柏瑋
樹黨,縣市議員,新竹縣第1選舉區,許育綸
樹黨,縣市議員,澎湖縣第1選舉區,冼義哲
樹黨,縣市長,連江縣,蘇柏豪
樹黨,鄉鎮市民代表,新竹縣竹北市第1選舉區,高民晟
樹黨,鄉鎮市民代表,澎湖縣馬公市第1選舉區,謝佑康
樹黨,鄉鎮市民代表,澎湖縣馬公市第2選舉區,王南昕
樹黨,鄉鎮市民代表,澎湖縣馬公市第3選舉區,招有倫
樹黨,鄉鎮市民代表,澎湖縣馬公市第4選舉區,張峻偉
樹黨,鄉鎮市民代表,澎湖縣湖西鄉第1選舉區,賴立凱
樹黨,鄉鎮市民代表,澎湖縣湖西鄉第2選舉區,林若水
樹黨,鄉鎮市民代表,澎湖縣湖西鄉第3選舉區,張翔淳
青年陽光黨,村里長,臺北市松山區新益里,許芷芸
青年陽光黨,村里長,臺北市松山區敦化里,黃文佳
青年陽光黨,村里長,臺北市信義區松隆里,羅丹
青年陽光黨,村里長,臺北市信義區惠安里,王小桃
青年陽光黨,村里長,臺北市中山區正得里,鄧盡妹
青年陽光黨,村里長,臺北市中正區文盛里,陳芯彣
青年陽光黨,村里長,臺北市萬華區柳鄉里,王鴻儒
青年陽光黨,村里長,臺北市萬華區銘德里,陳品家
青年陽光黨,村里長,臺北市文山區木柵里,林志勤
青年陽光黨,村里長,新北市中和區秀景里,陳可蒂
青年陽光黨,村里長,新北市永和區文化里,劉淑美
青年陽光黨,村里長,新北市新店區中正里,陳鈺麟
青年陽光黨,村里長,桃園市蘆竹區中興里,吳昭蓉
青年陽光黨,村里長,桃園市龜山區文青里,陳健一
青年陽光黨,村里長,桃園市平鎮區福林里,彭士益
青年陽光黨,村里長,臺中市西屯區龍潭里,張伍毅
青年陽光黨,村里長,苗栗縣頭份市和平里,梁珍彗
青年陽光黨,直轄市議員,臺中市第3選舉區,張正興
青年陽光黨,鄉鎮市長,金門縣金城鎮,許丕肯
親民黨,村里長,新竹縣尖石鄉玉峰村,賴明惠
親民黨,村里長,臺東縣蘭嶼鄉東清村,張進發
親民黨,直轄市議員,臺北市第2選舉區,黃珊珊
親民黨,直轄市議員,臺北市第3選舉區,洪士奇
親民黨,直轄市議員,臺北市第4選舉區,林國成
親民黨,直轄市議員,臺北市第8選舉區,高為人
親民黨,直轄市議員,桃園市第1選舉區,林國政
親民黨,直轄市議員,桃園市第4選舉區,張永奇
親民黨,直轄市議員,桃園市第9選舉區,陳秀玲
親民黨,直轄市議員,臺中市第8選舉區,邱于珊
親民黨,直轄市議員,臺中市第13選舉區,段緯宇
親民黨,直轄市議員,臺中市第15選舉區,洪金福
親民黨,直轄市議員,臺南市第8選舉區,李錦泉
親民黨,直轄市議員,高雄市第8選舉區,吳益政
親民黨,直轄市議員,高雄市第10選舉區,洪毓彬
親民黨,直轄市議員,高雄市第12選舉區,詹金福
親民黨,縣市議員,宜蘭縣第12選舉區,陳傑麟
親民黨,縣市議員,臺東縣第8選舉區,林昊宜
親民黨,縣市議員,臺東縣第16選舉區,黃碧妹
親民黨,縣市議員,金門縣第1選舉區,徐銀磯
親民黨,縣市議員,金門縣第1選舉區,莊旭英
親民黨,縣市議員,基隆市第1選舉區,徐莉莉
親民黨,縣市議員,基隆市第4選舉區,凃慧玲
親民黨,縣市議員,基隆市第5選舉區,莊錦田
親民黨,縣市議員,基隆市第6選舉區,張志維
親民黨,縣市議員,基隆市第7選舉區,楊秀玉
親民黨,縣市議員,基隆市第8選舉區,黃淑珍
親民黨,縣市議員,新竹市第1選舉區,曹永明
親民黨,鄉鎮市民代表,新竹縣竹北市第1選舉區,宋品毅
時代力量,村里長,新北市瑞芳區龍山里,陳志強
時代力量,村里長,宜蘭縣蘇澳鎮聖愛里,黃忠志
時代力量,村里長,臺東縣成功鎮三仙里,吳新財^KoLas
時代力量,直轄市議員,臺北市第1選舉區,黃郁芬
時代力量,直轄市議員,臺北市第2選舉區,蕭新晟
時代力量,直轄市議員,臺北市第3選舉區,吳崢
時代力量,直轄市議員,臺北市第4選舉區,林亮君
時代力量,直轄市議員,臺北市第6選舉區,林穎孟
時代力量,直轄市議員,新北市第2選舉區,唐聖捷
時代力量,直轄市議員,新北市第3選舉區,陳志明
時代力量,直轄市議員,新北市第4選舉區,彭盛韶
時代力量,直轄市議員,新北市第5選舉區,張祐銓
時代力量,直轄市議員,新北市第8選舉區,曾柏瑜
時代力量,直轄市議員,新北市第10選舉區,黃智姍
時代力量,直轄市議員,桃園市第1選舉區,簡智翔
時代力量,直轄市議員,桃園市第7選舉區,劉祐龍
時代力量,直轄市議員,臺中市第6選舉區,簡嘉佑
時代力量,直轄市議員,臺中市第7選舉區,吳佩芸
時代力量,直轄市議員,臺中市第8選舉區,許皓甯
時代力量,直轄市議員,臺中市第10選舉區,李國禎
時代力量,直轄市議員,臺南市第7選舉區,林易瑩
時代力量,直轄市議員,高雄市第4選舉區,林子盟
時代力量,直轄市議員,高雄市第7選舉區,林于凱
時代力量,直轄市議員,高雄市第9選舉區,黃捷
時代力量,縣市議員,新竹縣第1選舉區,連郁婷
時代力量,縣市議員,苗栗縣第4選舉區,宋國鼎
時代力量,縣市議員,苗栗縣第5選舉區,曾玟學
時代力量,縣市議員,彰化縣第1選舉區,吳韋達
時代力量,縣市議員,雲林縣第1選舉區,廖郁賢
時代力量,縣市議員,雲林縣第4選舉區,鍾政翰
時代力量,縣市議員,宜蘭縣第1選舉區,林正芳
時代力量,縣市議員,宜蘭縣第2選舉區,林瑞文
時代力量,縣市議員,宜蘭縣第6選舉區,歐志銘
時代力量,縣市議員,花蓮縣第3選舉區,莊建威
時代力量,縣市議員,花蓮縣第7選舉區,林高捷
時代力量,縣市議員,臺東縣第8選舉區,林淑玲
時代力量,縣市議員,臺東縣第11選舉區,陳珊珊
時代力量,縣市議員,澎湖縣第1選舉區,蔡尚至
時代力量,縣市議員,基隆市第5選舉區,陳薇仲
時代力量,縣市議員,新竹市第1選舉區,蔡惠婷
時代力量,縣市議員,新竹市第2選舉區,黃瑞誠
時代力量,縣市議員,新竹市第4選舉區,林彥甫
時代力量,縣市議員,新竹市第5選舉區,廖子齊
時代力量,縣市議員,嘉義市第1選舉區,張志翔
時代力量,鄉鎮市民代表,宜蘭縣宜蘭市第1選舉區,郭稟翰
時代力量,鄉鎮市民代表,宜蘭縣宜蘭市第4選舉區,呂柏凱
時代力量,鄉鎮市民代表,臺東縣成功鎮第2選舉區,胡明發
時代力量,鄉鎮市民代表,臺東縣東河鄉第2選舉區,朱世榮
民主進步黨,村里長,臺北市松山區民有里,江永華
民主進步黨,村里長,臺北市松山區吉祥里,黃嬌英
民主進步黨,村里長,臺北市松山區新聚里,黃建豐
民主進步黨,村里長,臺北市松山區復勢里,許雪真
民主進步黨,村里長,臺北市信義區五全里,吳秀好
民主進步黨,村里長,臺北市信義區長春里,潘厚勳
民主進步黨,村里長,臺北市信義區永春里,彭賴秀琴
民主進步黨,村里長,臺北市中山區大佳里,莊欽億
民主進步黨,村里長,臺北市中山區新喜里,吳昇陽
民主進步黨,村里長,臺北市中山區松江里,陳永護
民主進步黨,村里長,臺北市中山區新生里,林振鵬
民主進步黨,村里長,臺北市中山區中庄里,陳建中
民主進步黨,村里長,臺北市中山區行孝里,呂勗淇
民主進步黨,村里長,臺北市中山區下埤里,王琇妃
民主進步黨,村里長,臺北市中山區江山里,林裕美
民主進步黨,村里長,臺北市中山區中原里,郭秀珍
民主進步黨,村里長,臺北市中山區埤頭里,林銘清
民主進步黨,村里長,臺北市大同區玉泉里,鄭錦泰
民主進步黨,村里長,臺北市大同區建明里,陳正賢
民主進步黨,村里長,臺北市大同區建功里,周志賢
民主進步黨,村里長,臺北市大同區建泰里,陳鵬程
民主進步黨,村里長,臺北市大同區永樂里,陳福春
民主進步黨,村里長,臺北市大同區朝陽里,林炳祥
民主進步黨,村里長,臺北市大同區光能里,陳靜筠
民主進步黨,村里長,臺北市大同區大有里,許美智
民主進步黨,村里長,臺北市大同區雙連里,洪振恒
民主進步黨,村里長,臺北市大同區南芳里,賴徐玉枝
民主進步黨,村里長,臺北市大同區民權里,林美菊
民主進步黨,村里長,臺北市大同區景星里,張惠雯
民主進步黨,村里長,臺北市大同區隆和里,沈春華
民主進步黨,村里長,臺北市大同區蓬萊里,何英輝
民主進步黨,村里長,臺北市大同區國順里,陳穎慧
民主進步黨,村里長,臺北市大同區國慶里,高大陸
民主進步黨,村里長,臺北市大同區揚雅里,許傑昌
民主進步黨,村里長,臺北市大同區斯文里,江雪卿
民主進步黨,村里長,臺北市大同區鄰江里,陳豊祥
民主進步黨,村里長,臺北市大同區至聖里,王清標
民主進步黨,村里長,臺北市大同區老師里,許宮銘
民主進步黨,村里長,臺北市大同區保安里,張賦脈
民主進步黨,村里長,臺北市萬華區新起里,陳鴻祥
民主進步黨,村里長,臺北市萬華區菜園里,紀昱全
民主進步黨,村里長,臺北市萬華區青山里,李昭成
民主進步黨,村里長,臺北市萬華區富民里,范添成
民主進步黨,村里長,臺北市萬華區仁德里,許淑惠
民主進步黨,村里長,臺北市萬華區柳鄉里,蔡和益
民主進步黨,村里長,臺北市萬華區忠德里,鄭明裕
民主進步黨,村里長,臺北市文山區萬興里,詹晉鑒
民主進步黨,村里長,臺北市內湖區週美里,黃俊壽
民主進步黨,村里長,臺北市士林區後港里,紀建漢
民主進步黨,村里長,臺北市士林區福中里,紀榮鴻
民主進步黨,村里長,臺北市士林區百齡里,翁淑穎
民主進步黨,村里長,臺北市士林區福華里,李振貴
民主進步黨,村里長,臺北市士林區福順里,林家卉
民主進步黨,村里長,臺北市士林區社子里,林瑞祥
民主進步黨,村里長,臺北市士林區社新里,陳志明
民主進步黨,村里長,臺北市士林區福安里,謝文加
民主進步黨,村里長,臺北市士林區新安里,吳彥廷
民主進步黨,村里長,臺北市北投區奇岩里,賴進利
民主進步黨,村里長,臺北市北投區關渡里,黃紀貴
民主進步黨,村里長,新北市板橋區福星里,朱泰霖
民主進步黨,村里長,新北市三重區福民里,林麗枝
民主進步黨,村里長,新北市三重區錦田里,陳民哲
民主進步黨,村里長,新北市三重區光陽里,許青菓
民主進步黨,村里長,新北市三重區田心里,謝文華
民主進步黨,村里長,新北市三重區重陽里,陳興農
民主進步黨,村里長,新北市三重區民生里,陳海順
民主進步黨,村里長,新北市三重區大德里,陳素櫻
民主進步黨,村里長,新北市三重區奕壽里,周楨錩
民主進步黨,村里長,新北市三重區六合里,陳錦沝
民主進步黨,村里長,新北市三重區溪美里,葉仁德
民主進步黨,村里長,新北市三重區福隆里,林桂蘭
民主進步黨,村里長,新北市三重區五福里,葉順龍
民主進步黨,村里長,新北市三重區仁忠里,林麗菁
民主進步黨,村里長,新北市三重區慈愛里,李漢琦
民主進步黨,村里長,新北市三重區富貴里,呂淑敏
民主進步黨,村里長,新北市三重區永發里,陳綉娜
民主進步黨,村里長,新北市三重區永豐里,黃冬茂
民主進步黨,村里長,新北市三重區福樂里,蘇修賢
民主進步黨,村里長,新北市永和區後溪里,莊銘淵
民主進步黨,村里長,新北市新莊區中美里,陳明卿
民主進步黨,村里長,新北市新莊區思源里,沈明耀
民主進步黨,村里長,新北市新莊區和平里,蔡河彬
民主進步黨,村里長,新北市新莊區幸福里,黃稜珽
民主進步黨,村里長,新北市新莊區仁義里,陳文一
民主進步黨,村里長,新北市新莊區昌平里,周阿換
民主進步黨,村里長,新北市樹林區文林里,甘永昌
民主進步黨,村里長,新北市汐止區環河里,杜璧娟
民主進步黨,村里長,新北市蘆洲區中原里,陳國連
民主進步黨,村里長,新北市蘆洲區鷺江里,周中堅
民主進步黨,村里長,新北市蘆洲區溪墘里,蕭仰眞
民主進步黨,村里長,新北市蘆洲區仁復里,林榮宗
民主進步黨,村里長,新北市蘆洲區永康里,林世峯
民主進步黨,村里長,新北市蘆洲區忠義里,杜芝蓮
民主進步黨,村里長,新北市蘆洲區九芎里,李茂雄
民主進步黨,村里長,新北市蘆洲區光明里,陳文良
民主進步黨,村里長,新北市蘆洲區長安里,丁連進
民主進步黨,村里長,新北市蘆洲區延平里,張明德
民主進步黨,村里長,新北市蘆洲區成功里,林德義
民主進步黨,村里長,新北市萬里區萬里里,蔡濬宇
民主進步黨,村里長,桃園市蘆竹區南崁里,邱顯助
民主進步黨,村里長,桃園市蘆竹區瓦窯里,劉采柔
民主進步黨,村里長,桃園市蘆竹區福祿里,李勝輝
民主進步黨,村里長,桃園市大園區田心里,江錦春
民主進步黨,村里長,臺中市中區繼光里,鄭瓊怡
民主進步黨,村里長,臺中市中區綠川里,薛雅文
民主進步黨,村里長,臺中市中區大誠里,藍天益
民主進步黨,村里長,臺中市東區新庄里,許陳全金
民主進步黨,村里長,臺中市東區振興里,江俐瑋
民主進步黨,村里長,臺中市東區東英里,何國瑞
民主進步黨,村里長,臺中市南區國光里,陳仁榮
民主進步黨,村里長,臺中市南區福興里,林孟辰
民主進步黨,村里長,臺中市南區長榮里,賴宥蓁
民主進步黨,村里長,臺中市南區南和里,鄭志誠
民主進步黨,村里長,臺中市南區工學里,翁俊楠
民主進步黨,村里長,臺中市南區崇倫里,曾素貞
民主進步黨,村里長,臺中市西區後龍里,謝嘉浤
民主進步黨,村里長,臺中市西區安龍里,王美瑩
民主進步黨,村里長,臺中市西區吉龍里,魏淑珠
民主進步黨,村里長,臺中市西區昇平里,蕭行凱
民主進步黨,村里長,臺中市西區忠誠里,田玉蓮
民主進步黨,村里長,臺中市西區中興里,何富保
民主進步黨,村里長,臺中市北區育德里,陳瑨浩
民主進步黨,村里長,臺中市北區長青里,陳孝謙
民主進步黨,村里長,臺中市北區六合里,陳豐誠
民主進步黨,村里長,臺中市北區大湖里,吳炤烈
民主進步黨,村里長,臺中市西屯區大河里,陳資源
民主進步黨,村里長,臺中市西屯區廣福里,吳棟財
民主進步黨,村里長,臺中市西屯區永安里,邱淑婷
民主進步黨,村里長,臺中市西屯區何福里,何淑玲
民主進步黨,村里長,臺中市西屯區福和里,李鳳珍
民主進步黨,村里長,臺中市西屯區福雅里,蔡素珍
民主進步黨,村里長,臺中市南屯區文山里,陳福立
民主進步黨,村里長,臺中市南屯區三厝里,黃俊銘
民主進步黨,村里長,臺中市南屯區惠中里,曾善
民主進步黨,村里長,臺中市北屯區舊社里,趙俊安
民主進步黨,村里長,臺中市北屯區東山里,邱財源
民主進步黨,村里長,臺中市北屯區仁美里,張煥陽
民主進步黨,村里長,臺中市北屯區四民里,廖俊傑
民主進步黨,村里長,臺中市北屯區后庄里,邱敏鳳
民主進步黨,村里長,臺中市北屯區同榮里,江麗香
民主進步黨,村里長,臺中市豐原區富春里,江明燿
民主進步黨,村里長,臺中市豐原區葫蘆里,吳大川
民主進步黨,村里長,臺中市豐原區豐西里,劉昌富
民主進步黨,村里長,臺中市豐原區西湳里,蔣年峯
民主進步黨,村里長,臺中市豐原區社皮里,陳俞帆
民主進步黨,村里長,臺中市豐原區豐田里,林萬結
民主進步黨,村里長,臺中市豐原區南村里,謝見忠
民主進步黨,村里長,臺中市豐原區南嵩里,李宜峰
民主進步黨,村里長,臺中市豐原區翁社里,徐紘惟
民主進步黨,村里長,臺中市東勢區隆興里,張松桂
民主進步黨,村里長,臺中市東勢區新盛里,劉坤增
民主進步黨,村里長,臺中市大甲區中山里,賴坤文
民主進步黨,村里長,臺中市大甲區武曲里,林明禎
民主進步黨,村里長,臺中市大甲區文武里,葉淑惠
民主進步黨,村里長,臺中市清水區南社里,林旭星
民主進步黨,村里長,臺中市清水區裕嘉里,楊文城
民主進步黨,村里長,臺中市清水區國姓里,劉福榮
民主進步黨,村里長,臺中市清水區橋頭里,許貴燈
民主進步黨,村里長,臺中市沙鹿區鹿寮里,陳專敏
民主進步黨,村里長,臺中市梧棲區中正里,張進祿
民主進步黨,村里長,臺中市神岡區社口里,陳金地
民主進步黨,村里長,臺中市神岡區神洲里,劉大誠
民主進步黨,村里長,臺中市神岡區山皮里,陳勝泧
民主進步黨,村里長,臺中市石岡區九房里,張鴻斌
民主進步黨,村里長,臺中市大安區,余連銓
民主進步黨,村里長,臺中市烏日區烏日里,吳則磐
民主進步黨,村里長,臺中市烏日區三和里,周麗玲
民主進步黨,村里長,臺中市龍井區龍泉里,楊寶村
民主進步黨,村里長,臺中市霧峰區桐林里,陳鳳陣
民主進步黨,村里長,臺中市霧峰區吉峰里,李汶璋
民主進步黨,村里長,臺中市霧峰區六股里,蘇德城
民主進步黨,村里長,臺中市太平區光隆里,鄭閔鴻
民主進步黨,村里長,臺中市太平區宜佳里,黃麗卿
民主進步黨,村里長,臺中市大里區立仁里,謝燻翔
民主進步黨,村里長,臺中市大里區新仁里,吳立宏
民主進步黨,村里長,臺中市大里區夏田里,江芳源
民主進步黨,村里長,臺中市大里區仁化里,林金澤
民主進步黨,村里長,臺中市大里區瑞城里,陳清標
民主進步黨,村里長,臺南市新營區民榮里,黃新義
民主進步黨,村里長,臺南市新營區嘉芳里,張福太
民主進步黨,村里長,臺南市新營區永平里,蘇科全
民主進步黨,村里長,臺南市白河區虎山里,吳昕璨
民主進步黨,村里長,臺南市白河區昇安里,翟志勛
民主進步黨,村里長,臺南市白河區詔豐里,詹海寶
民主進步黨,村里長,臺南市柳營區八翁里,梁煌榆
民主進步黨,村里長,臺南市後壁區新嘉里,張細雲
民主進步黨,村里長,臺南市麻豆區興農里,黃湘鈞
民主進步黨,村里長,臺南市麻豆區埤頭里,李開通
民主進步黨,村里長,臺南市麻豆區安業里,李永達
民主進步黨,村里長,臺南市六甲區二甲里,姜林明和
民主進步黨,村里長,臺南市學甲區秀昌里,陳滿足
民主進步黨,村里長,臺南市七股區義合里,黃文乾
民主進步黨,村里長,臺南市新化區豐榮里,楊輝雄
民主進步黨,村里長,臺南市新化區𦰡拔里,李瑞雄
民主進步黨,村里長,臺南市善化區東關里,張芳睿
民主進步黨,村里長,臺南市善化區胡家里,丁水明
民主進步黨,村里長,臺南市山上區新莊里,黃羿穎
民主進步黨,村里長,臺南市仁德區太子里,鄭悅生
民主進步黨,村里長,臺南市仁德區後壁里,許連發
民主進步黨,村里長,臺南市仁德區保安里,顏榮城
民主進步黨,村里長,臺南市關廟區五甲里,蔡明松
民主進步黨,村里長,臺南市永康區五王里,李福祥
民主進步黨,村里長,臺南市永康區網寮里,林高田
民主進步黨,村里長,臺南市永康區埔園里,柯景維
民主進步黨,村里長,臺南市永康區大橋里,李建志
民主進步黨,村里長,臺南市永康區甲頂里,吳和祥
民主進步黨,村里長,臺南市永康區新樹里,黄明來
民主進步黨,村里長,臺南市永康區二王里,陳俊彬
民主進步黨,村里長,臺南市永康區六合里,李信輝
